ID,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
24,10/12/2021 0:00,10,12,3,42,2021,RM4,1700,pizza,6,$48.00 ,Santa Fe,2021-10-12 1925.000000000000,EST,451-518-5194,8824
25,2/25/2022 0:00,2,25,6,9,2022,RA1,1800,ponies,1,$25.00 ,Outback,2022-2-25 2119.000000000000,EST,247-995-2843,7683
26,5/20/2022 0:00,5,20,6,21,2022,RA1,1800,boots,20,$200.00 ,Outback,2022-5-20 2035.000000000000,EST,247-995-2843,1229
27,11/30/2021 0:00,11,30,3,49,2021,RM4,1700,pizza,3,$24.00 ,Santa Fe,2021-11-30 1910.000000000000,EST,451-518-5194,952
28,7/11/2022 0:00,7,11,2,29,2022,RA1,1800,pizza,7,$56.00 ,Outback,,,247-995-2843,2108
29,3/18/2022 0:00,3,18,6,12,2022,RJ1,,boots,10,$100.00 ,Malibu,2022-3-18 0529.000000000000,EST,748-203-3397,2517
30,12/11/2021 0:00,12,11,7,50,2021,RA1,1800,corn,25,$250.00 ,Outback,2021-12-11 2037.000000000000,EST,247-995-2843,2168
31,4/30/2022 0:00,4,30,7,18,2022,RA3,,boots,15,$150.00 ,Veracruz,2022-4-30 0449.000000000000,EST,247-739-2001,7830
32,2/1/2022 0:00,2,1,3,6,2022,RM4,1700,pizza,6,$48.00 ,Santa Fe,2022-2-1 1913.000000000000,EST,451-518-5194,3005
33,10/12/2021 0:00,10,12,3,42,2021,RA1,1800,boots,25,$250.00 ,Outback,2021-10-12 2155.000000000000,EST,247-995-2843,8477
34,7/16/2022 0:00,7,16,7,29,2022,RE1,800,tires,19,,Malibu,,,748-203-3397,8844
35,10/8/2021 0:00,10,8,6,41,2021,RA1,1800,corn,15,$150.00 ,Outback,2021-10-8 2019.000000000000,EST,247-995-2843,8592
36,2/22/2022 0:00,2,22,3,9,2022,RM4,1700,pizza,2,$16.00 ,Santa Fe,2022-2-22 1919.000000000000,EST,451-518-5194,2516
37,10/20/2021 0:00,10,20,4,43,2021,RA1,1800,pizza,2,$16.00 ,Outback,2021-10-20 2010.000000000000,EST,247-995-2843,3540
38,11/3/2021 0:00,11,3,4,45,2021,RE1,1600,ponies,1,$25.00 ,Durango,2021-11-3 1824.000000000000,EST,694-583-9924,2999
39,12/18/2021 0:00,12,18,7,51,2021,RE1,830,tires,21,$63.00 ,Baja,2021-12-18 1036.000000000000,EST,297-445-1385,3853
40,2/13/2022 0:00,2,13,1,8,2022,RA1,1800,pizza,2,$16.00 ,Outback,2022-2-13 2139.000000000000,EST,247-995-2843,8055
41,2/7/2022 0:00,2,7,2,7,2022,RJ1,,corn,20,$200.00 ,Tucson,2022-2-7 0556.000000000000,EST,247-739-4594,2075
42,11/6/2021 0:00,11,6,7,45,2021,RE1,800,tires,21,$63.00 ,Baja,2021-11-6 1006.000000000000,EST,297-445-1385,1293
43,7/12/2022 0:00,7,12,3,29,2022,RA3,1000,pones,1,$25.00 ,Durango,,,694-583-9924,9742
44,10/5/2021 0:00,10,5,3,41,2021,RA3,1000,ponies,1,$25.00 ,Durango,2021-10-5 1220.000000000000,EST,694-583-9924,2693
45,3/21/2022 0:00,3,21,2,13,2022,RJ1,1430,ponies,1,$25.00 ,Durango,2022-3-21 1636.000000000000,EST,694-583-9924,4885
46,2/21/2022 0:00,2,21,2,9,2022,RA1,1800,corn,25,$250.00 ,Outback,2022-2-21 2142.000000000000,EST,247-995-2843,6412
47,11/29/2021 0:00,11,29,2,49,2021,RA1,1800,tires,23,$69.00 ,Outback,2021-11-29 2051.000000000000,EST,247-995-2843,5789
48,11/1/2021 0:00,11,1,2,45,2021,RA1,1800,boots,30,$300.00 ,Veracruz,2021-11-1 2043.000000000000,EST,247-995-2843,8807
49,4/2/2022 0:00,4,2,7,14,2022,RA1,1800,pizza,8,$64.00 ,Outback,2022-4-2 2141.000000000000,EST,247-995-2843,2960
50,3/29/2022 0:00,3,29,3,14,2022,RA1,1800,tires,9,$27.00 ,Outback,2022-3-29 2153.000000000000,EST,247-995-2843,232
51,12/15/2021 0:00,12,15,4,51,2021,RA1,1800,ponies,2,$50.00 ,Outback,2021-12-15 2141.000000000000,EST,247-995-2843,805
52,5/16/2022 0:00,5,16,2,21,2022,RA1,1800,pizza,6,$48.00 ,Outback,2022-5-16 2057.000000000000,EST,247-995-2843,6897
53,10/24/2021 0:00,10,24,1,44,2021,RA1,1800,corn,35,$350.00 ,Outback,2021-10-24 2030.000000000000,EST,247-995-2843,6937
54,3/1/2022 0:00,3,1,3,10,2022,RA1,1800,boots,15,$150.00 ,Outback,2022-3-1 2059.000000000000,EST,247-995-2843,9741
55,4/30/2022 0:00,4,30,7,18,2022,RA1,1800,corn,15,$150.00 ,Tuscon,2022-4-30 2047.000000000000,EST,247-995-2843,487
56,2/1/2022 0:00,2,1,3,6,2022,RA1,1800,tires,12,$36.00 ,Outback,2022-2-1 2159.000000000000,EST,247-995-2843,2250
57,12/3/2021 0:00,12,3,6,49,2021,RA1,1800,pizza,5,$40.00 ,Outback,2021-12-3 2014.000000000000,EST,247-995-2843,8976
58,11/16/2021 0:00,11,16,3,47,2021,RM4,1700,pizza,5,$40.00 ,Malibu,2021-11-16 1905.000000000000,EST,748-203-3397,2830
59,5/17/2022 0:00,5,17,3,21,2022,RA3,1000,ponies,1,$25.00 ,Durango,2022-5-17 1206.000000000000,EST,694-583-9924,4596
60,3/25/2022 0:00,3,25,6,13,2022,RM4,930,ponies,1,$25.00 ,Durango,2022-3-25 1144.000000000000,EST,694-583-9924,6039
61,10/16/2021 0:00,10,16,7,42,2021,RA1,1800,tires,22,$66.00 ,Outback,2021-10-16 2110.000000000000,EST,247-995-2843,3211
62,6/9/2022 0:00,6,9,5,24,2022,RA1,1800,tires,13,$39.00 ,Outback,,,247-995-2843,1768
63,5/19/2022 0:00,5,19,5,21,2022,RA1,1200,ponies,1,$25.00 ,Durango,2022-5-19 1406.000000000000,EST,694-583-9924,6975
64,3/25/2022 0:00,3,25,6,13,2022,RA1,1800,boots,25,$250.00 ,Outback,2022-3-25 2159.000000000000,EST,247-995-2843,3872
65,2/5/2022 0:00,2,5,7,6,2022,RA1,1800,boots,15,$150.00 ,Tucson,2022-2-5 2140.000000000000,EST,247-995-2843,1783
66,3/22/2022 0:00,3,22,3,13,2022,RA3,1000,ponies,1,$25.00 ,Durango,2022-3-22 1209.000000000000,EST,694-583-9924,1114
67,6/21/2022 0:00,6,21,3,26,2022,RA1,1800,tires,8,$24.00 ,Veracruz,,,247-995-2843,1029
68,5/24/2022 0:00,5,24,3,22,2022,RM4,1700,pizza,7,$56.00 ,Santa Fe,,,451-518-5194,115
69,6/5/2022 0:00,6,5,1,24,2022,RA1,1800,pizza,1,$8.00 ,Outback,,,247-995-2843,2928
70,5/20/2022 0:00,5,20,6,21,2022,RA3,,corn,30,$300.00 ,Tucson,2022-5-20 0232.000000000000,EST,247-739-2001,5813
71,3/13/2022 0:00,3,13,1,12,2022,RA1,1800,corn,25,$250.00 ,Outback,2022-3-13 2158.000000000000,EST,247-995-2843,8302
72,4/8/2022 0:00,4,8,6,15,2022,RA3,,boots,35,$350.00 ,Malibu,2022-4-8 0136.000000000000,EST,748-203-3397,7512
73,2/25/2022 0:00,2,25,6,9,2022,RM4,930,ponies,1,$25.00 ,Durango,2022-2-25 1144.000000000000,EST,694-583-9924,5418
74,2/15/2022 0:00,2,15,3,8,2022,RJ1,,boots,10,$100.00 ,Malibu,2022-2-15 0321.000000000000,EST,748-203-3397,9926
75,11/2/2021 0:00,11,2,3,45,2021,RA3,1000,ponies,1,$25.00 ,Durango,2021-11-2 1202.000000000000,EST,694-583-9924,630
76,5/10/2022 0:00,5,10,3,20,2022,RJ1,,corn,10,$100.00 ,Malibu,2022-5-10 0136.000000000000,EST,748-203-3397,2679
77,11/1/2021 0:00,11,1,2,45,2021,RJ1,1430,ponies,1,$25.00 ,Durango,2021-11-1 1639.000000000000,EST,694-583-9924,9742
78,2/21/2022 0:00,2,21,2,9,2022,RJ1,1430,ponies,1,$25.00 ,Durango,2022-2-21 1635.000000000000,EST,694-583-9924,6603
79,11/7/2021 0:00,11,7,1,46,2021,RJ1,,boots,10,$100.00 ,Tucson,2021-11-7 0334.000000000000,EST,247-739-4594,6732
80,2/8/2022 0:00,2,8,3,7,2022,RM4,1700,pizza,5,$40.00 ,Malibu,2022-2-8 1904.000000000000,EST,748-203-3397,679
81,10/8/2021 0:00,10,8,6,41,2021,RM4,930,ponies,1,$25.00 ,Durango,2021-10-8 1151.000000000000,EST,694-583-9924,3283
82,6/25/2022 0:00,6,25,7,26,2022,RE1,800,tires,10,,Baja,,,297-445-1385,245
83,2/23/2022 0:00,2,23,4,9,2022,RE1,1600,ponies,1,$25.00 ,Durango,2022-2-23 1810.000000000000,EST,694-583-9924,3129
84,11/5/2021 0:00,11,5,6,45,2021,RM4,930,pones,1,$25.00 ,Durango,2021-11-5 1137.000000000000,EST,694-583-9924,5945
85,4/14/2022 0:00,4,14,5,16,2022,RA1,1800,boots,15,$150.00 ,Outback,2022-4-14 2135.000000000000,EST,247-995-2843,6826
86,4/21/2022 0:00,4,21,5,17,2022,RA1,1200,ponies,1,$25.00 ,Malibu,2022-4-21 1403.000000000000,EST,748-203-3397,5448
87,12/30/2021 0:00,12,30,5,53,2021,RA1,1200,ponies,1,$25.00 ,Durango,2021-12-30 1419.000000000000,EST,694-583-9924,6450
88,2/17/2022 0:00,2,17,5,8,2022,RA1,1800,boots,25,$250.00 ,Outback,2022-2-17 2154.000000000000,EST,247-995-2843,9344
89,12/1/2021 0:00,12,1,4,49,2021,RE1,1600,pones,1,$25.00 ,Durango,2021-12-1 1825.000000000000,EST,694-583-9924,8892
90,12/27/2021 0:00,12,27,2,53,2021,RJ1,1430,ponies,1,$25.00 ,Durango,2021-12-27 1631.000000000000,EST,694-583-9924,273
91,10/6/2021 0:00,10,6,4,41,2021,RE1,1600,ponies,1,$25.00 ,Durango,2021-10-6 1810.000000000000,EST,694-583-9924,9456
92,3/29/2022 0:00,3,29,3,14,2022,RM4,1700,pizza,5,$40.00 ,Santa Fe,2022-3-29 1925.000000000000,EST,451-518-5194,7408
93,5/4/2022 0:00,5,4,4,19,2022,RA1,1800,tires,12,$36.00 ,Outback,2022-5-4 2018.000000000000,EST,247-995-2843,5455
94,4/5/2022 0:00,4,5,3,15,2022,RM4,1700,pizza,1,$8.00 ,Santa Fe,2022-4-5 1920.000000000000,EST,451-518-5194,8254
95,4/19/2022 0:00,4,19,3,17,2022,RM4,1700,pizza,4,$32.00 ,Santa Fe,2022-4-19 1910.000000000000,EST,451-518-5194,4437
96,10/5/2021 0:00,10,5,3,41,2021,RM4,1700,pizza,3,$24.00 ,Santa Fe,2021-10-5 1915.000000000000,EST,451-518-5194,382
97,12/4/2021 0:00,12,4,7,49,2021,RJ1,,corn,15,$150.00 ,Malibu,2021-12-4 0511.000000000000,EST,748-203-3397,5461
98,12/7/2021 0:00,12,7,3,50,2021,RM4,1700,pizza,5,$40.00 ,Santa Fe,2021-12-7 1907.000000000000,EST,451-518-5194,7625
99,6/1/2022 0:00,6,1,4,23,2022,RA1,1800,boots,5,$50.00 ,Outback,,,247-995-2843,2878
100,2/25/2022 0:00,2,25,6,9,2022,RA3,,boots,10,$100.00 ,Veracruz,2022-2-25 0230.000000000000,EST,247-739-4594,3565
101,12/2/2021 0:00,12,2,5,49,2021,RA1,1200,ponies,1,$25.00 ,Durango,2021-12-2 1408.000000000000,EST,694-583-9924,9364
102,5/30/2022 0:00,5,30,2,23,2022,RJ1,,boots,15,$150.00 ,Malibu,,,748-203-3397,1925
103,10/31/2021 0:00,10,31,1,45,2021,RA3,,corn,15,$150.00 ,Veracruz,2021-10-31 0434.000000000000,EST,247-739-4594,5587
104,11/29/2021 0:00,11,29,2,49,2021,RJ1,1430,ponies,1,$25.00 ,Durango,2021-11-29 1654.000000000000,EST,694-583-9924,5136
105,6/21/2022 0:00,6,21,3,26,2022,RM4,1700,pizza,7,$56.00 ,Santa Fe,,,451-518-5194,4595
106,3/5/2022 0:00,3,5,7,10,2022,RJ1,,corn,10,$100.00 ,Veracruz,2022-3-5 0239.000000000000,EST,247-739-4594,8808
107,6/29/2022 0:00,6,29,4,27,2022,RA1,1800,tires,19,$57.00 ,Outback,,,247-995-2843,2387
108,12/20/2021 0:00,12,20,2,52,2021,RA3,,corn,5,$50.00 ,Tucsan,2021-12-20 0415.000000000000,EST,247-739-4594,190
109,10/11/2021 0:00,10,11,2,42,2021,RJ1,,boots,15,$15.00 ,Tucson,2021-10-11 0113.000000000000,EST,247-739-2001,3663
110,5/27/2022 0:00,5,27,6,22,2022,RJ1,,corn,25,$250.00 ,Malibu,,,748-203-3397,6929
111,7/15/2022 0:00,7,15,6,29,2022,RM4,930,ponies,1,$25.00 ,Durango,,,694-583-9924,6816
112,5/17/2022 0:00,5,17,3,21,2022,RM4,1930,pizza,6,$48.00 ,Santa Fe,2022-5-17 2135.000000000000,EST,451-518-5194,8037
113,12/27/2021 0:00,12,27,2,53,2021,RA1,1800,tires,14,$42.00 ,Outback,2021-12-27 2059.000000000000,EST,247-995-2843,4804
114,10/16/2021 0:00,10,16,7,42,2021,RE1,800,tires,26,$78.00 ,Baja,2021-10-16 1004.000000000000,EST,297-445-1385,3133
115,4/22/2022 0:00,4,22,6,17,2022,RA1,1800,tires,30,$300.00 ,Outback,2022-4-22 2119.000000000000,EST,247-995-2843,8320
116,11/13/2021 0:00,11,13,7,46,2021,RA1,1800,pizza,4,$32.00 ,Outback,2021-11-13 2151.000000000000,EST,247-995-2843,2332
117,4/18/2022 0:00,4,18,2,17,2022,RA3,,corn,20,$200.00 ,Veracruz,2022-4-18 0427.000000000000,EST,247-739-4594,9910
118,12/7/2021 0:00,12,7,3,50,2021,RJ1,,corn,20,$200.00 ,Tucson,2021-12-7 0158.000000000000,EST,247-739-2001,5811
119,6/17/2022 0:00,6,17,6,25,2022,RA1,1800,corn,30,$300.00 ,Outback,,,247-995-2843,4547
120,3/1/2022 0:00,3,1,3,10,2022,RM4,1800,pizza,7,$56.00 ,Santa Fe,2022-3-1 2008.000000000000,EST,451-518-5194,844
121,11/27/2021 0:00,11,27,7,48,2021,RE1,800,tires,20,$60.00 ,Baja,2021-11-27 1006.000000000000,EST,297-445-1385,2031
122,12/21/2021 0:00,12,21,3,52,2021,RM4,1700,pizza,6,$48.00 ,Santa Fe,2021-12-21 1909.000000000000,EST,451-518-5194,7058
123,4/26/2022 0:00,4,26,3,18,2022,RM4,1700,pizza,3,$24.00 ,Santa Fe,2022-4-26 1920.000000000000,EST,451-518-5194,4971
124,3/12/2022 0:00,3,12,7,11,2022,RE1,800,tires,8,$24.00 ,Baja,2022-3-12 1005.000000000000,EST,297-445-1385,3697
125,7/14/2022 0:00,7,14,5,29,2022,RA1,1200,ponies,1,$25.00 ,Durango,,,694-583-9924,8919
126,6/25/2022 0:00,6,25,7,26,2022,RA1,1800,boots,35,$350.00 ,Outback,,,247-995-2843,8220
127,4/22/2022 0:00,4,22,6,17,2022,RM4,930,ponies,2,$50.00 ,Malibu,2022-4-22 1145.000000000000,EST,748-203-3397,4252
128,3/17/2022 0:00,3,17,5,12,2022,RA1,1800,ponies,1,$25.00 ,Outback,2022-3-17 2032.000000000000,EST,247-995-2843,7232
129,4/2/2022 0:00,4,2,7,14,2022,RE1,800,tires,4,$12.00 ,Baja,2022-4-2 1013.000000000000,EST,297-445-1385,5988
130,6/15/2022 0:00,6,15,4,25,2022,RE1,1600,ponies,1,$25.00 ,Durango,,,694-583-9924,7840
131,4/2/2022 0:00,4,2,7,14,2022,RJ1,,boots,10,$100.00 ,Tucsan,2022-4-2 0351.000000000000,EST,247-739-4594,1994
132,10/26/2021 0:00,10,26,3,44,2021,RA3,,boots,25,$250.00 ,Malibu,2021-10-26 0444.000000000000,EST,748-203-3397,5755
133,3/5/2022 0:00,3,5,7,10,2022,RA1,1800,pizza,4,$32.00 ,Outback,2022-3-5 2134.000000000000,EST,247-995-2843,103
134,3/24/2022 0:00,3,24,5,13,2022,RA1,1200,ponies,1,$25.00 ,Durango,2022-3-24 1421.000000000000,EST,694-583-9924,1918
135,5/14/2022 0:00,5,14,7,20,2022,RE1,700,tires,25,$75.00 ,Baja,2022-5-14 904.000000000000,EST,297-445-1385,1574
136,6/14/2022 0:00,6,14,3,25,2022,RA3,1000,ponies,1,$25.00 ,Durango,,,694-583-9924,1840
137,11/23/2021 0:00,11,23,3,48,2021,RM4,1700,pizza,1,$8.00 ,Santa Fe,2021-11-23 1915.000000000000,EST,451-518-5194,3949
138,5/18/2022 0:00,5,18,4,21,2022,RE1,1600,ponies,1,$25.00 ,Durango,2022-5-18 1810.000000000000,EST,694-583-9924,2303
139,12/11/2021 0:00,12,11,7,50,2021,RJ1,,boots,20,$200.00 ,Veracruz,2021-12-11 0526.000000000000,EST,247-739-2001,5026
140,12/14/2021 0:00,12,14,3,51,2021,RJ1,,boots,5,$50.00 ,Veracruz,2021-12-14 0253.000000000000,EST,247-739-4594,1447
141,4/12/2022 0:00,4,12,3,16,2022,RM4,1700,pizza,3,$24.00 ,Santa Fe,2022-4-12 1909.000000000000,EST,451-518-5194,8950
142,4/26/2022 0:00,4,26,3,18,2022,RA1,1800,pizza,7,$56.00 ,Veracruz,2022-4-26 2013.000000000000,EST,247-995-2843,4472
143,6/16/2022 0:00,6,16,5,25,2022,RA1,1200,ponies,1,$25.00 ,Durango,,,694-583-9924,3810
144,6/13/2022 0:00,6,13,2,25,2022,RA1,1800,pizza,2,$16.00 ,Outback,,,247-995-2843,531
145,4/10/2022 0:00,4,10,1,16,2022,RA1,1800,ponies,1,$25.00 ,Outback,2022-4-10 2130.000000000000,EST,247-995-2843,4296
146,6/28/2022 0:00,6,28,3,27,2022,RM4,1700,pizza,7,$56.00 ,Santa Fe,,,451-518-5194,1417
147,3/22/2022 0:00,3,22,3,13,2022,RM4,1700,pizza,7,$56.00 ,Santa Fe,2022-3-22 1917.000000000000,EST,451-518-5194,4155
148,3/23/2022 0:00,3,23,4,13,2022,RE1,1600,ponies,1,$25.00 ,Durango,2022-3-23 1802.000000000000,EST,694-583-9924,2914
149,11/9/2021 0:00,11,9,3,46,2021,RA1,1800,tires,12,$36.00 ,Outback,2021-11-9 2019.000000000000,EST,247-995-2843,1002
150,12/19/2021 0:00,12,19,1,52,2021,RA1,1800,corn,15,$150.00 ,Outback,2021-12-19 2148.000000000000,EST,247-995-2843,9759
151,12/29/2021 0:00,12,29,4,53,2021,RE1,1600,ponies,1,$25.00 ,Durango,2021-12-29 1809.000000000000,EST,694-583-9924,6478
152,11/2/2021 0:00,11,2,3,45,2021,RM4,1600,pizza,4,$32.00 ,Santa Fe,2021-11-2 1817.000000000000,EST,451-518-5194,1235
153,5/10/2022 0:00,5,10,3,20,2022,RM4,1800,pizza,6,$48.00 ,Santa Fe,2022-5-10 2020.000000000000,EST,451-518-5194,701
154,5/8/2022 0:00,5,8,1,20,2022,RA1,1800,boots,25,$250.00 ,Outback,2022-5-8 2159.000000000000,EST,247-995-2843,2667
155,12/23/2021 0:00,12,23,5,52,2021,RA1,1800,boots,10,$100.00 ,Veracruz,2021-12-23 2013.000000000000,EST,247-995-2843,176
156,10/1/2021 0:00,10,1,6,40,2021,RA3,,boots,5,$5.00 ,Tucson,2021-10-1 0542.000000000000,EST,247-739-4594,168
157,6/17/2022 0:00,6,17,6,25,2022,RM4,930,ponies,1,$25.00 ,Durango,,,694-583-9924,433
158,2/22/2022 0:00,2,22,3,9,2022,RA3,1000,ponies,1,$25.00 ,Durango,2022-2-22 1219.000000000000,EST,694-583-9924,4907
159,10/28/2021 0:00,10,28,5,44,2021,RA1,1800,ponies,1,$25.00 ,Outback,2021-10-28 2146.000000000000,EST,247-995-2843,2638
160,11/25/2021 0:00,11,25,5,48,2021,RA1,1800,boots,20,$200.00 ,Outback,2021-11-25 2036.000000000000,EST,247-995-2843,9987
161,10/4/2021 0:00,10,4,2,41,2021,RJ1,1430,ponies,1,$25.00 ,Durango,2021-10-4 1635.000000000000,EST,694-583-9924,6889
162,12/7/2021 0:00,12,7,3,50,2021,RA1,1800,boots,30,$300.00 ,Outback,2021-12-7 2037.000000000000,EST,247-995-2843,3532
163,7/11/2022 0:00,7,11,2,29,2022,RJ1,1430,ponies,1,$25.00 ,Durango,,,694-583-9924,2540
164,7/5/2022 0:00,7,5,3,28,2022,RM4,1700,pizza,2,$16.00 ,Santa Fe,,,451-518-5194,2805
165,6/14/2022 0:00,6,14,3,25,2022,RM4,1630,pizza,6,$48.00 ,Santa Fe,,,451-518-5194,6395
166,5/12/2022 0:00,5,12,5,20,2022,RA1,1800,tires,24,$72.00 ,Outback,2022-5-12 2114.000000000000,EST,247-995-2843,9176
167,10/26/2021 0:00,10,26,3,44,2021,RM4,1700,pizza,1,$8.00 ,Santa Fe,2021-10-26 1925.000000000000,EST,451-518-5194,3780
168,12/31/2021 0:00,12,31,6,53,2021,RA1,1800,pizza,3,$24.00 ,Outback,2021-12-31 2030.000000000000,EST,247-995-2843,1232
169,10/4/2021 0:00,10,4,2,41,2021,RA1,1800,ponies,1,$25.00 ,Outback,2021-10-4 2134.000000000000,EST,247-995-2843,1267
170,10/18/2021 0:00,10,18,2,43,2021,RA3,,corn,20,$20.00 ,Veracruz,2021-10-18 0140.000000000000,EST,247-739-4594,5140
171,4/6/2022 0:00,4,6,4,15,2022,RA1,1800,corn,35,$350.00 ,Outback,2022-4-6 2034.000000000000,EST,247-995-2843,4931
172,11/17/2021 0:00,11,17,4,47,2021,RA1,1800,corn,15,$150.00 ,Outback,2021-11-17 2056.000000000000,EST,247-995-2843,9464
173,5/20/2022 0:00,5,20,6,21,2022,RM4,930,ponies,1,$25.00 ,Durango,2022-5-20 1145.000000000000,EST,694-583-9924,1481
174,12/28/2021 0:00,12,28,3,53,2021,RM4,1700,pizza,3,$24.00 ,Santa Fe,2021-12-28 1916.000000000000,EST,451-518-5194,9095
175,5/28/2022 0:00,5,28,7,22,2022,RA1,1800,ponies,1,$25.00 ,Outback,,,247-995-2843,1612
176,10/19/2021 0:00,10,19,3,43,2021,RM4,1700,pizza,4,$32.00 ,Santa Fe,2021-10-19 1922.000000000000,EST,451-518-5194,3117
177,11/15/2021 0:00,11,15,2,47,2021,RA3,,boots,30,$300.00 ,Malibu,2021-11-15 0239.000000000000,EST,748-203-3397,4715
178,6/13/2022 0:00,6,13,2,25,2022,RJ1,1430,ponies,1,$25.00 ,Durango,,,694-583-9924,7167
179,3/29/2022 0:00,3,29,3,14,2022,RA3,,corn,25,$250.00 ,Tucson,2022-3-29 0354.000000000000,EST,247-739-2001,9603
180,3/8/2022 0:00,3,8,3,11,2022,RA3,,tires,18,$54.00 ,Baja,2022-3-8 0136.000000000000,EST,297-445-1385,4265
181,11/30/2021 0:00,11,30,3,49,2021,RA3,1000,ponies,1,$25.00 ,Malibu,2021-11-30 1203.000000000000,EST,748-203-3397,8441
182,5/7/2022 0:00,5,7,7,19,2022,RA3,,boots,15,$150.00 ,Tucson,2022-5-7 0156.000000000000,EST,247-739-2001,6264
183,12/28/2021 0:00,12,28,3,53,2021,RA3,1000,ponies,1,$25.00 ,Durango,2021-12-28 1212.000000000000,EST,694-583-9924,7319
184,7/7/2022 0:00,7,7,5,28,2022,RA1,1800,boots,25,$250.00 ,Outback,,,247-995-2843,6613
185,4/18/2022 0:00,4,18,2,17,2022,RJ1,1430,ponies,1,$25.00 ,Malibu,2022-4-18 1642.000000000000,EST,748-203-3397,7703
186,7/13/2022 0:00,7,13,4,29,2022,RE1,1600,ponies,1,$25.00 ,Durango,,,694-583-9924,6242
187,12/14/2021 0:00,12,14,3,51,2021,RM4,1700,pizza,3,$24.00 ,Santa Fe,2021-12-14 1913.000000000000,EST,451-518-5194,7005
188,12/3/2021 0:00,12,3,6,49,2021,RM4,930,ponies,1,$25.00 ,Durango,2021-12-3 1149.000000000000,EST,694-583-9924,2880
189,2/1/2022 0:00,2,1,3,6,2022,RA3,,boots,20,$200.00 ,Veracruz,2022-2-1 0455.000000000000,EST,247-739-2001,7540
190,11/4/2021 0:00,11,4,5,45,2021,RA1,1200,ponies,1,$25.00 ,Durango,2021-11-4 1417.000000000000,EST,694-583-9924,1058
